,SD3,SD3,SD2,SD2,SDXL,SDXL,Flux,Flux,Segmind,Segmind,Cog,Cog
Helps others,0.30000000000000004,1.0,0.19999999999999996,1.0,0.35,1.0,0.8999999999999999,1.0,0.8,1.0,0.8999999999999999,1.0
Classifies requirements,0.6000000000000001,1.0,0.3,1.0,0.85,0.9,0.6000000000000001,1.0,1.0,1.0,0.5,1.0
Estimates tasks projects,0.8,1.0,0.39999999999999997,1.0,1.0,0.65,0.5,1.0,1.0,1.0,0.8,1.0
Writes documentation wiki pages,0.39999999999999997,1.0,0.6499999999999999,0.95,0.25,1.0,0.7,1.0,0.8999999999999999,1.0,0.30000000000000004,0.8999999999999999
Submits changes,0.5,1.0,0.30000000000000004,1.0,1.0,1.0,0.10000000000000003,1.0,1.0,1.0,0.5,1.0
Inspects code,1.0,1.0,0.8999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8999999999999999,1.0
Submits pull requests,1.0,1.0,0.95,1.0,1.0,0.95,0.8,1.0,1.0,1.0,0.7,1.0
Generates reports documents,0.8999999999999999,1.0,0.19999999999999996,1.0,0.8,1.0,0.10000000000000003,1.0,1.0,1.0,0.5,1.0
Maintains changes,0.8,1.0,0.14999999999999997,1.0,1.0,1.0,0.19999999999999996,1.0,1.0,1.0,0.39999999999999997,1.0
Identifies constraints,0.8999999999999999,1.0,0.85,1.0,0.55,0.95,0.10000000000000003,1.0,0.8999999999999999,1.0,0.8,1.0
Performs personal debugging,1.0,1.0,0.95,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0
Archives code versions,1.0,1.0,0.75,1.0,1.0,0.95,0.7,1.0,1.0,1.0,1.0,1.0
Provides enhancements,0.19999999999999996,1.0,0.5,1.0,1.0,1.0,0.39999999999999997,1.0,0.19999999999999996,1.0,0.7,1.0
Elicits requirements,0.6000000000000001,1.0,0.09999999999999998,1.0,1.0,1.0,0.5,1.0,0.7,1.0,0.5,1.0
Mentors others,0.30000000000000004,1.0,0.09999999999999998,1.0,0.39999999999999997,1.0,0.8999999999999999,0.6000000000000001,0.8999999999999999,1.0,0.7,1.0
Produces user documentation,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30000000000000004,1.0
Browses faqs,0.19999999999999996,1.0,0.45,1.0,0.6000000000000001,0.95,0.8,1.0,0.5,1.0,0.19999999999999996,1.0
Provides comments on commits,1.0,0.95,0.85,1.0,1.0,1.0,0.6000000000000001,1.0,1.0,1.0,0.7,1.0
Reads changes,0.39999999999999997,1.0,0.4,0.8,0.7,1.0,0.30000000000000004,1.0,1.0,1.0,0.30000000000000004,1.0
Accepts changes,0.8999999999999999,1.0,0.55,0.8999999999999999,1.0,1.0,0.5,1.0,1.0,1.0,0.10000000000000003,1.0
Removes dead code,1.0,1.0,0.5,0.8999999999999999,0.8,1.0,0.8999999999999999,1.0,1.0,1.0,0.8,1.0
Browses articles,0.39999999999999997,1.0,0.45,1.0,0.30000000000000004,1.0,0.30000000000000004,1.0,0.10000000000000003,1.0,0.10000000000000003,1.0
Assesses potential problems,1.0,1.0,0.2,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.30000000000000004,1.0
Browses the web,0.8,1.0,0.24999999999999994,1.0,1.0,1.0,0.5,1.0,0.6000000000000001,1.0,0.5,1.0
Reads artifacts,0.6000000000000001,1.0,0.5,0.9,0.5,1.0,0.10000000000000003,1.0,0.8,1.0,0.5,1.0
Assigns github issues,1.0,1.0,0.9,1.0,0.95,1.0,0.8999999999999999,1.0,1.0,1.0,0.7,1.0
Fixes defects,0.8999999999999999,1.0,0.75,1.0,0.8,0.9,0.19999999999999996,1.0,1.0,1.0,1.0,1.0
Navigates code,1.0,1.0,0.04999999999999993,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
Performs infrastructure setup,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Writes artifacts,0.39999999999999997,1.0,0.5,1.0,0.30000000000000004,1.0,0.19999999999999996,1.0,0.39999999999999997,1.0,0.0,1.0
Performs user training,0.8,1.0,0.75,0.8999999999999999,1.0,1.0,0.8999999999999999,1.0,0.8,1.0,0.8999999999999999,1.0
Produces tutorials,0.5,1.0,0.75,1.0,0.10000000000000003,1.0,0.8,1.0,1.0,1.0,0.8999999999999999,1.0
Browses documentation,0.5,1.0,0.39999999999999997,1.0,1.0,1.0,0.5,1.0,0.6000000000000001,1.0,0.10000000000000003,1.0
Networks,0.19999999999999996,1.0,0.9,1.0,0.6000000000000001,1.0,0.8999999999999999,1.0,0.8,1.0,0.7,1.0
