analysis,model,metric,kw_stat,kw_p,kw_significant,comparison,dunn_p,dunn_significant,a12,a12_magnitude
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,General vs descriptive,0.000000,YES,0.9503,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,General vs negative_gender,1.000000,NO,0.4276,small
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,General vs negative_ethnicity,1.000000,NO,0.5376,negligible
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,SE vs Fair,1.000000,NO,0.5907,small
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,SE vs persona,1.000000,NO,0.4560,negligible
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,SE vs descriptive,0.000000,YES,0.9997,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,SE vs negative_gender,0.020321,YES,0.7087,medium
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,SE vs negative_ethnicity,0.000012,YES,0.7739,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,Fair vs persona,0.513948,NO,0.3664,small
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,Fair vs descriptive,0.000000,YES,0.9694,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,Fair vs negative_gender,1.000000,NO,0.6165,small
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,Fair vs negative_ethnicity,0.014187,YES,0.6913,medium
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,persona vs descriptive,0.000000,YES,1.0000,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,persona vs negative_gender,0.001699,YES,0.7427,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,persona vs negative_ethnicity,0.000000,YES,0.8004,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,descriptive vs negative_gender,0.000000,YES,0.0033,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,descriptive vs negative_ethnicity,0.000000,YES,0.0609,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,negative_gender vs negative_ethnicity,1.000000,NO,0.6154,small
B,Flux,gender_bias,268.4782,0.000000,YES,General vs SE,0.000000,YES,0.1068,large
B,Flux,gender_bias,268.4782,0.000000,YES,General vs Fair,0.001159,YES,0.7943,large
B,Flux,gender_bias,268.4782,0.000000,YES,General vs persona,0.000000,YES,0.1091,large
B,Flux,gender_bias,268.4782,0.000000,YES,General vs descriptive,0.000000,YES,0.1861,large
B,Flux,gender_bias,268.4782,0.000000,YES,General vs negative_gender,1.000000,NO,0.6003,small
B,Flux,gender_bias,268.4782,0.000000,YES,General vs negative_ethnicity,0.000000,YES,0.1127,large
B,Flux,gender_bias,268.4782,0.000000,YES,SE vs Fair,0.000000,YES,0.9974,large
B,Flux,gender_bias,268.4782,0.000000,YES,SE vs persona,1.000000,NO,0.5086,negligible
B,Flux,gender_bias,268.4782,0.000000,YES,SE vs descriptive,1.000000,NO,0.5891,small
B,Flux,gender_bias,268.4782,0.000000,YES,SE vs negative_gender,0.000000,YES,0.8981,large
B,Flux,gender_bias,268.4782,0.000000,YES,SE vs negative_ethnicity,1.000000,NO,0.5089,negligible
B,Flux,gender_bias,268.4782,0.000000,YES,Fair vs persona,0.000000,YES,0.0022,large
B,Flux,gender_bias,268.4782,0.000000,YES,Fair vs descriptive,0.000000,YES,0.0354,large
B,Flux,gender_bias,268.4782,0.000000,YES,Fair vs negative_gender,0.042995,YES,0.2819,large
B,Flux,gender_bias,268.4782,0.000000,YES,Fair vs negative_ethnicity,0.000000,YES,0.0046,large
B,Flux,gender_bias,268.4782,0.000000,YES,persona vs descriptive,1.000000,NO,0.5820,small
B,Flux,gender_bias,268.4782,0.000000,YES,persona vs negative_gender,0.000000,YES,0.8964,large
B,Flux,gender_bias,268.4782,0.000000,YES,persona vs negative_ethnicity,1.000000,NO,0.5003,negligible
B,Flux,gender_bias,268.4782,0.000000,YES,descriptive vs negative_gender,0.000000,YES,0.8438,large
B,Flux,gender_bias,268.4782,0.000000,YES,descriptive vs negative_ethnicity,1.000000,NO,0.4193,small
B,Flux,gender_bias,268.4782,0.000000,YES,negative_gender vs negative_ethnicity,0.000000,YES,0.1055,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,General vs SE,0.000216,YES,0.2310,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,General vs Fair,0.000060,YES,0.7776,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,General vs persona,1.000000,NO,0.5823,small
B,Flux,ethnicity_bias,163.4781,0.000000,YES,General vs descriptive,0.058035,NO,0.6768,medium
B,Flux,ethnicity_bias,163.4781,0.000000,YES,General vs negative_gender,0.056925,NO,0.6808,medium
B,Flux,ethnicity_bias,163.4781,0.000000,YES,General vs negative_ethnicity,0.000063,YES,0.2116,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,SE vs Fair,0.000000,YES,0.9319,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,SE vs persona,0.000000,YES,0.8586,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,SE vs descriptive,0.000000,YES,0.8879,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,SE vs negative_gender,0.000000,YES,0.9013,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,SE vs negative_ethnicity,1.000000,NO,0.4837,negligible
B,Flux,ethnicity_bias,163.4781,0.000000,YES,Fair vs persona,0.019097,YES,0.2712,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,Fair vs descriptive,1.000000,NO,0.3917,small
B,Flux,ethnicity_bias,163.4781,0.000000,YES,Fair vs negative_gender,1.000000,NO,0.3756,small
B,Flux,ethnicity_bias,163.4781,0.000000,YES,Fair vs negative_ethnicity,0.000000,YES,0.0564,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,persona vs descriptive,1.000000,NO,0.6134,small
B,Flux,ethnicity_bias,163.4781,0.000000,YES,persona vs negative_gender,1.000000,NO,0.6143,small
B,Flux,ethnicity_bias,163.4781,0.000000,YES,persona vs negative_ethnicity,0.000000,YES,0.1274,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,descriptive vs negative_gender,1.000000,NO,0.4927,negligible
B,Flux,ethnicity_bias,163.4781,0.000000,YES,descriptive vs negative_ethnicity,0.000000,YES,0.1027,large
B,Flux,ethnicity_bias,163.4781,0.000000,YES,negative_gender vs negative_ethnicity,0.000000,YES,0.0880,large
