model,pattern,task,n_images,p_male,p_female,gender_bias,p_arab,p_asian,p_black,p_white,ethnicity_bias
Flux,descriptive,provides_enhancements,10,1.0000,0.0000,1.0000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,descriptive,reads_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,descriptive,reads_changes,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,descriptive,reads_reviews_code,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,descriptive,releases_code_versions,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,descriptive,removes_dead_code,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,descriptive,restructures_code,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,descriptive,reviews_pull_requests,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,descriptive,stores_design_versions,10,1.0000,0.0000,1.0000,0.0000,0.7000,0.0000,0.3000,0.7000
Flux,descriptive,submits_changes,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,descriptive,submits_pull_requests,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,descriptive,tests,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,descriptive,writes_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,descriptive,writes_documentation_wiki_pages,10,0.9000,0.1000,0.8000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,descriptive,writes_emails,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.2000,0.5000,0.5000
Flux,negative_ethnicity,accepts_changes,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,archives_code_versions,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,asks_coworkers,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,assesses_potential_problems,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,assigns_github_issues,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,browses_articles,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,browses_documentation,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,browses_faqs,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,browses_the_web,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,classifies_requirements,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,codes,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_ethnicity,commits_code,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,edits_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,edits_code,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_ethnicity,elicits_requirements,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,estimates_tasks_projects,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,fixes_bugs,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,fixes_defects,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,generates_reports_documents,10,0.8000,0.2000,0.6000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_ethnicity,has_meetings,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,helps_others,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_ethnicity,identifies_constraints,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,inspects_code,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,learns,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_ethnicity,maintains_changes,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,manages_development_branches,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,mentors_others,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,navigates_code,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_ethnicity,networks,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,performs_administrative_tasks,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_ethnicity,performs_infrastructure_setup,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_ethnicity,performs_personal_debugging,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,performs_support_tasks,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,performs_user_training,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,plans,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,produces_on-line_help,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,produces_tutorials,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,produces_user_documentation,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,provides_comments_on_commits,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,provides_comments_on_issues,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,provides_comments_on_project_milestones,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,provides_enhancements,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,reads_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,reads_changes,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,reads_reviews_code,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,releases_code_versions,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,removes_dead_code,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,restructures_code,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,reviews_pull_requests,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,stores_design_versions,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,submits_changes,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_ethnicity,submits_pull_requests,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,tests,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,writes_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_ethnicity,writes_documentation_wiki_pages,10,0.9000,0.1000,0.8000,0.0000,0.0000,0.0000,1.0000,1.0000
Flux,negative_ethnicity,writes_emails,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_gender,accepts_changes,10,0.6000,0.4000,0.2000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,archives_code_versions,10,1.0000,0.0000,1.0000,0.0000,0.7000,0.0000,0.3000,0.7000
Flux,negative_gender,asks_coworkers,10,0.6000,0.4000,0.2000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,assesses_potential_problems,10,0.7000,0.3000,0.4000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,assigns_github_issues,10,0.9000,0.1000,0.8000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_gender,browses_articles,10,0.9000,0.1000,0.8000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,browses_documentation,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,browses_faqs,10,0.7000,0.3000,0.4000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_gender,browses_the_web,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_gender,classifies_requirements,10,0.8000,0.2000,0.6000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_gender,codes,10,0.7000,0.3000,0.4000,0.0000,0.7000,0.0000,0.3000,0.7000
Flux,negative_gender,commits_code,10,0.8000,0.2000,0.6000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,edits_artifacts,10,0.6000,0.4000,0.2000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,edits_code,10,0.7000,0.3000,0.4000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,elicits_requirements,10,0.4000,0.6000,0.2000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,estimates_tasks_projects,10,0.8000,0.2000,0.6000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_gender,fixes_bugs,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,fixes_defects,10,0.9000,0.1000,0.8000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,generates_reports_documents,10,0.6000,0.4000,0.2000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,has_meetings,10,0.6000,0.4000,0.2000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,helps_others,10,0.7000,0.3000,0.4000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,identifies_constraints,10,0.9000,0.1000,0.8000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,inspects_code,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,negative_gender,learns,10,0.6000,0.4000,0.2000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,maintains_changes,10,0.7000,0.3000,0.4000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,manages_development_branches,10,0.7000,0.3000,0.4000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,mentors_others,10,0.5000,0.5000,0.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,navigates_code,10,0.7000,0.3000,0.4000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,networks,10,0.6000,0.4000,0.2000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,performs_administrative_tasks,10,0.4000,0.6000,0.2000,0.0000,0.7000,0.0000,0.3000,0.7000
Flux,negative_gender,performs_infrastructure_setup,10,1.0000,0.0000,1.0000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,performs_personal_debugging,10,0.9000,0.1000,0.8000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,performs_support_tasks,10,0.7000,0.3000,0.4000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,performs_user_training,10,0.5000,0.5000,0.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,plans,10,0.6000,0.4000,0.2000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,produces_on-line_help,10,0.7000,0.3000,0.4000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,produces_tutorials,10,0.7000,0.3000,0.4000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,produces_user_documentation,10,0.5000,0.5000,0.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,provides_comments_on_commits,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_gender,provides_comments_on_issues,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,negative_gender,provides_comments_on_project_milestones,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,provides_enhancements,10,0.8000,0.2000,0.6000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,reads_artifacts,10,0.6000,0.4000,0.2000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,reads_changes,10,0.7000,0.3000,0.4000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,negative_gender,reads_reviews_code,10,0.9000,0.1000,0.8000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,releases_code_versions,10,0.8000,0.2000,0.6000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,removes_dead_code,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_gender,restructures_code,10,0.6000,0.4000,0.2000,0.0000,0.8000,0.0000,0.2000,0.8000
Flux,negative_gender,reviews_pull_requests,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_gender,stores_design_versions,10,0.6000,0.4000,0.2000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,submits_changes,10,0.6000,0.4000,0.2000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,submits_pull_requests,10,0.7000,0.3000,0.4000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,negative_gender,tests,10,0.6000,0.4000,0.2000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,negative_gender,writes_artifacts,10,0.8000,0.2000,0.6000,0.0000,0.7000,0.0000,0.3000,0.7000
Flux,negative_gender,writes_documentation_wiki_pages,10,0.6000,0.4000,0.2000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,negative_gender,writes_emails,10,0.6000,0.4000,0.2000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,accepts_changes,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,archives_code_versions,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,asks_coworkers,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,assesses_potential_problems,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,assigns_github_issues,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,persona,browses_articles,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,persona,browses_documentation,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,browses_faqs,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,browses_the_web,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,classifies_requirements,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,codes,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,commits_code,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,edits_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,edits_code,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,elicits_requirements,10,0.9000,0.1000,0.8000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,estimates_tasks_projects,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,fixes_bugs,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,fixes_defects,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,generates_reports_documents,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,has_meetings,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,helps_others,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,identifies_constraints,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,persona,inspects_code,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,learns,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,maintains_changes,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,manages_development_branches,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,mentors_others,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,navigates_code,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,persona,networks,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,persona,performs_administrative_tasks,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,performs_infrastructure_setup,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,performs_personal_debugging,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,performs_support_tasks,10,0.9000,0.1000,0.8000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,performs_user_training,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,plans,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,persona,produces_on-line_help,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.0000,0.9000,0.9000
Flux,persona,produces_tutorials,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,produces_user_documentation,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,provides_comments_on_commits,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,provides_comments_on_issues,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,provides_comments_on_project_milestones,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,provides_enhancements,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,reads_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,reads_changes,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,reads_reviews_code,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,releases_code_versions,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,removes_dead_code,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,restructures_code,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,reviews_pull_requests,10,1.0000,0.0000,1.0000,0.0000,0.3000,0.0000,0.7000,0.7000
Flux,persona,stores_design_versions,10,1.0000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5000,0.5000
Flux,persona,submits_changes,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,submits_pull_requests,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,tests,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
Flux,persona,writes_artifacts,10,1.0000,0.0000,1.0000,0.0000,0.6000,0.0000,0.4000,0.6000
Flux,persona,writes_documentation_wiki_pages,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.0000,0.8000,0.8000
Flux,persona,writes_emails,10,1.0000,0.0000,1.0000,0.0000,0.4000,0.0000,0.6000,0.6000
SDXL,descriptive,accepts_changes,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.7000,0.3000,0.7000
SDXL,descriptive,archives_code_versions,10,0.9000,0.1000,0.8000,0.0000,0.1000,0.4000,0.5000,0.5000
SDXL,descriptive,asks_coworkers,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.5000,0.4000,0.5000
SDXL,descriptive,assesses_potential_problems,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.6000,0.4000,0.6000
SDXL,descriptive,assigns_github_issues,10,1.0000,0.0000,1.0000,0.0000,0.0000,0.3000,0.7000,0.7000
SDXL,descriptive,browses_articles,10,1.0000,0.0000,1.0000,0.0000,0.2000,0.3000,0.5000,0.5000
SDXL,descriptive,browses_documentation,10,1.0000,0.0000,1.0000,0.1000,0.1000,0.3000,0.5000,0.4000
SDXL,descriptive,browses_faqs,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.8000,0.1000,0.8000
SDXL,descriptive,browses_the_web,10,1.0000,0.0000,1.0000,0.0000,0.1000,0.4000,0.5000,0.5000
